ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดอนทราย,ต.ควนหนองคว้า อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ดินแดงน้อย,ต.หนองทะเล อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
ดินนา,ต.คลองพน อ.คลองท่อม จ.กระบี่ 81170,เขตพื้นที่การศึกษากระบี่ เขต 1
ดินแดง,ต.ดินแดง อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
ดอน,ต.โคกกลอย อ.ตะกั่วทุ่ง จ.พังงา 82140,เขตพื้นที่การศึกษาพังงา เขต 1
ดอกแดง,ต.บางไทร อ.ตะกั่วป่า จ.พังงา 82110,เขตพื้นที่การศึกษาพังงา เขต 1
ดอนเกลี้ยง,ต.ขุนทะเล อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84100,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดอนสน,ต.ท่าทอง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดอนหลวง,ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดอนเสาธง,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดินแดงสามัคคี,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดอนธูป,ต.ลิปะน้อย อ.เกาะสมุย จ.สุราษฎร์ธานี 84140,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ดอนมะกอก,ต.ประสงค์ อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ดินก้อง,ต.วัง อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ดอนสุวรรณ,ต.ท่ากระดาน อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ดอนทราย,ต.น้ำพุ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ดอนงาม,ต.นาใต้ อ.บ้านนาเดิม จ.สุราษฎร์ธานี 84240,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ดอนมะตูม,ต.น้ำรอบ อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ดอนกลาง,ต.น้ำจืด อ.กระบุรี จ.ระนอง 85110,เขตพื้นที่การศึกษาระนอง เขต 1
ดอนไทรงาม,ต.บางหมาก อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
ดอนรัก,ต.บางลึก อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
ดอนเคี่ยม,ต.รับร่อ อ.ท่าแซะ จ.ชุมพร 86190,เขตพื้นที่การศึกษาชุมพร เขต 1
ดอนตะเคียน,ต.บางสน อ.ปะทิว จ.ชุมพร 86160,เขตพื้นที่การศึกษาชุมพร เขต 1
ดอนทราย,ต.ชุมโค อ.ปะทิว จ.ชุมพร 86160,เขตพื้นที่การศึกษาชุมพร เขต 1
ดอนนน,ต.ท่ามะพลา อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
ดวด,ต.สวนแตง อ.ละแม จ.ชุมพร 86170,เขตพื้นที่การศึกษาชุมพร เขต 2
ดอนแค,ต.สวนแตง อ.ละแม จ.ชุมพร 86170,เขตพื้นที่การศึกษาชุมพร เขต 2
ดอนขี้เหล็ก,ต.พะวง อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
ดอนแบก,ต.ตะเครียะ อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
ดินลาน,ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ดูสน,อ.ควนโดน จ.สตูล 91160,เขตพื้นที่การศึกษาสตูล เขต 1
ดาหลำ,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
ด่าน,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
ดุหุน,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
ด่านโลด,อ.ตะโหมด จ.พัทลุง 93160,เขตพื้นที่การศึกษาพัทลุง เขต 1
